MPS Location,Report Name,Type,File Location,Coordinates
19U,BANS Trending Report,,,D176
19V,Billed by Period Report,,,D177
19W,Switched BANs Trending Report,,,D178
19X,SW Usage Charges Summary Report,,,D179
19Y,FUSF Report,,,D180
19Z,GL Extract,,,D181
19AA,FA BANS Trending Report,,,D182
19AB,FA Charges Summary Report,,,D183
19AC,Facility Circuit Charges Billed Disconnected,,,D184
19AD,FA Circuit Charges by CIC by CLLI Report,,,D185
19AE,Facility Charges Summary - Excel,,,D186
19AF,Facility Circuit Charges Billed Disconnected,,,D187
19AG,Number of Circuits,,,D188
19AH,NECA:  NECA AS1000,,,D189
19AI,NECA: NECA EC1050,,,D190
19AJ,Create Switch Terminating Intrastate Revenue Report for NECA,,,D191
19AK,Sprint MOU Analysis for export,,,D192
19AL,Invoice Balance Report,,,D193
19AM,Invoice Trending Report for export (qty type dtl),,,D194
19AN,Invoice Trending Report for Export - dir - jur,,,D195
19AO,Invoice Register Excel,,,D196
19AP,Fulfillment BAN Report,,,D197
19AQ,Fulfillment Form,,,D198
19AR,Adjustment Report,,,D199
19AS,OC&C Report,,,D200
19AT,OC&C Detail - Unposted,,,D201
19AU,Adjustment & OCC Report,,,D202
19AV,Report 8,,,D203
19AW,SOC Jurisdiction Report,,,D204
19AX,AUR No Bill Master,,,D205
19AY,AUR with Bill Master,,,D206
19AZ,Billing Notes,,,D207
19BA,Accounting Detailed Report,,,D208
19BB,Accounting Report,,,D209
19BC,Porting Recap,,,D210
19BD,Billed by Period w/dir jur msg mou,,,D211
19BE,Billed � Balance Report,,,D212
19BF,Invoice Register Report,,,D213
19BG,Aged Trial Balance_by period,,,D214
19BH,Bus-Res Proration Report,,,D215
19BI,PDF & Zip all invoices,,,D216
19BJ,FUSC Charge By Circuit,,,D217
19BK,OCC Billed Report,,,D218
20,Bill Count Trending Report,,,D219
20A,Aged Trial Balance Walk Forward,,,D220
20B,Aged Trial Balance Report,,,D221
20C,Transaction Summary Report - Bills Only,,,D222
20D,FA Charges Summary Report,,,D223
20E,FA Circuit Charges by CIC by CLLI,,,D224
20F,Bill Count Trending Total for Facility,,,D225
21,"Final QC Sign Off, Bills Ready to Send",,,D226
21A,Senior Sign Off,,,D227
21B,Number of Invoices,,,D228
21C,,,,D229
21D,Billing Done Date,,,D230
22,"Final QC Sign Off, Bills Ready to Send",,,D231
22A,Billing Reports sent Client for approval,,,D232
22B,Client Final Approval of Billing,,,D233
22C,PDF and ZIP invoices for each cycle,,,D234
22D,Send Final Invoices to Client - Winzip,,,D235
22E,Dashboard Verification,,,D236
22F,Customer Volume Trending,,,D237
23,Email the Fulfillment Report and Form,,,D238
23A,Email the BILL COUNT notification to IntecSBInvoicing,,,D239
23B,Invoice Delivery Report,,,D240
24,Email Returned from Fulfillment,,,D241
24A,Validate FF,,,D242
25,Post Invoices: After reports returned from Fulfillment,,,D243
26,AFTER Posting Invoices,,,D244
26A,Usage Balancing-Company BAN Total Report,,,D245
26B,Usage Clean-Up,,,D246
26C,Roll Up ATB,,,D247
26D,Roll Up Transaction Summary,,,D248
26E,Roll Up SW/FAC Transaction Summary,,,D249
26F,Roll Up RC Transaction Summary,,,D250
26G,Successful Transmission of FTP Invoices Report,,,D251
26H,PDF Bill Count,,,D252
26I,Usage Balancing-Company BAN Total Report,,,D253
26K,Send Billing Calendar for next month,,,D254
26L,EOM_Aged Trial Balance for Export,,,D255
26M,EOM_Invoice Balances Report_by Jurisdiction,,,D256
26N,EOM_Payments,,,D257
26O,EOM_Transaction Summary,,,D258
26P,EOM_Bill Count Trending,,,D259
26Q,EOM_Bill Count,,,D260
26R,EOM_Trial Balance Walkforward,,,D261
26S,Recip Comp Bill Reports & Invoices,,,D262
26T,Facility Access Billing Reports & Invoices,,,D263
26U,Switched Access Billing Reports & Invoices,,,D264
26V,MTA CLLIs_on_BANS_3015_04-2016,,,D265
26W,MTA SOCS_on_BANS_3015_04-2016,,,D266
27,Returned Mail Log,,,D267
5D,Usage By Day Report  (NOTIFY CLIENT OF MISSING USAGE),OSA,,
5D,Usage By Day Report  (NOTIFY CLIENT OF MISSING USAGE),TTS,,
5E,Usage By Day Report - 3 Month Period,OSA,,
5E,Usage By Day Report - 3 Month Period,TTS,,
8,Enter/Post/Balance Payments,OSA,,
8,Enter/Post/Balance Payments,TTS,,
12B,Switched/Facility BANS Trending Report - as needed,OSA,,
12B,Switched/Facility BANS Trending Report - as needed,TTS,,
12O,Adjustments Report,OSA,,
12O,Adjustments Report,TTS,,
12P,OC&Cs Report,OSA,,
12P,OC&Cs Report,TTS,,
19A,Aged Trial Balance Report,OSA,,
19A,Aged Trial Balance Report,TTS,,
19V,Billed by Period Report,OSA,,
19V,Billed by Period Report,TTS,,
20A,Aged Trial Balance Walk Forward,OSA,,
20A,Aged Trial Balance Walk Forward,TTS,,
19B,Aged Trial Balance Report -Export,OSA,,
19B,Aged Trial Balance Report -Export,TTS,,
19AL,Invoice Balance with LPC,OSA,,
19AL,Invoice Balance with LPC,TTS,,
19F,MMR Report,OSA,,
19F,MMR Report,TTS,,
19G,Msgs MOUs by Rev Report,OSA,,
19G,Msgs MOUs by Rev Report,TTS,,
19Q,Msg MOU Rev with LPC,OSA,,
19Q,Msg MOU Rev with LPC,TTS,,
19H,Msgs MOUs by CLLI Report,OSA,,
19H,Msgs MOUs by CLLI Report,TTS,,
19M,Transaction Summary Report,OSA,,
19M,Transaction Summary Report,TTS,,
19W,Switched BAN Trending Report,OSA,,
19W,Switched BAN Trending Report,TTS,,
19S,Revenue Analysis,OSA,,
19S,Revenue Analysis,TTS,,
1,MPS,JAN,,
2,MPS,FEB,,
3,MPS,MAR,,
4,MPS,APR,,
5,MPS,MAY,,
6,MPS,JUN,,
7,MPS,JUL,,
8,MPS,AUG,,
9,MPS,SEP,,
10,MPS,OCT,,
11,MPS,NOV,,
12,MPS,DEC,,
